Mi dici il tuo nome?,General_About_You
Vorrei sapere come creare un chat bot,General_About_You
Ti forniscono i servizi?,General_About_You
Su quale sistema operativo è il bot?,General_About_You
Sei un rappresentante ufficiale della conversazione?,General_About_You
Sei una dashboard,General_About_You
Riesci a descriverti?,General_About_You
puoi scoprire la mia ubicazione watson,General_About_You
Potresti mettermi in contatto con un essere umano?,General_About_You
"Non capisco come funziona il vostro sito, mi puoi aiutare?",General_About_You
Aiutami a capire come verificare la tua funzionalità,General_About_You
Informazioni tecniche su agente virtuale watson,General_About_You
Il buon Watson è troppo intelligente,General_About_You
Ho bisogno di informazioni sul prezzo di Watson,General_About_You
Hai un nomignolo?,General_About_You
Esisti davvero oppure sei solo virtuale?,General_About_You
E per quel che riguarda te? Cosa si dice?,General_About_You
Diventiamo amici?,General_About_You
Come stai?,General_About_You
Che differenza c'è con altre chat?,General_About_You
Come posso usare le funzionalità demo dell'agente?,General_Agent_Capabilities
Voglio avere informazioni su una domanda frequente,General_Agent_Capabilities
Senti puoi dirmi come puoi aiutarmi per favore?,General_Agent_Capabilities
Quali sono i comandi di aiuto?,General_Agent_Capabilities
Puoi dirmi i tipi di cose con cui puoi aiutarmi?,General_Agent_Capabilities
Puoi aspettare solo un attimo per favore?,General_Agent_Capabilities
Posso visualizzare metriche settimanali,General_Agent_Capabilities
Posso vedere le domande più frequenti?,General_Agent_Capabilities
Mi piacerebbe sapere che tipo di problemi si possono risolvere per me.,General_Agent_Capabilities
"Ho qualche domanda, e ho bisognoso di assistenza ... posso chiedere aiuto?",General_Agent_Capabilities
"Ho molte domande, può rispondere alle domande sui suoi servizi",General_Agent_Capabilities
Fornisci assistenza generale? Non so cosa posso chiederti,General_Agent_Capabilities
E' possibile ricevere un qualche tipo d'aiuto?,General_Agent_Capabilities
Diavolo! Mi piacerebbe sapere che tipo di domande puoi rispondere per me.,General_Agent_Capabilities
Come posso creare una conversazione qui?,General_Agent_Capabilities
"Ciao, su quali argomenti puoi aiutarmi?",General_Agent_Capabilities
Ciao. Potresti darmi un elenco di argomenti con cui puoi aiutarmi per favore?,General_Agent_Capabilities
"Ciao, come puoi essermi d'aiuto oggi?",General_Agent_Capabilities
che tipo di assistenza mi puoi dare?,General_Agent_Capabilities
Per favore aiutarmi a raggiungere un agente,General_Connect_to_Agent
Per favore posso parlare con un consulente della mia bolletta,General_Connect_to_Agent
Posso avere i contatti per parlare con un operatore attivo?,General_Connect_to_Agent
Posso parlare con un operatore in carne e ossa?,General_Connect_to_Agent
Puoi solamente mandarmi un numero di telefono per parlare con un rappresentante commerciale umano?,General_Connect_to_Agent
"Sto cercando di trovare una persona sul telefono, non una macchina automatica. Come posso parlare con una persona al supporto clienti? grazie",General_Connect_to_Agent
"Voglio che mi mettiate in contatto con un operatore che mi può aiutare, non con una macchina",General_Connect_to_Agent
Voglio parlare con un addetto all'assistenza clienti.,General_Connect_to_Agent
Voglio parlare con un operatore al telefono,General_Connect_to_Agent
Voglio parlare della gestione del profilo con un agente,General_Connect_to_Agent
Ciao. Potresti passare la mia chiamata a un operatore in carne e ossa per favore? Vorrei parlare direttamente con un essere umano.,General_Connect_to_Agent
Collegami a un operatore,General_Connect_to_Agent
Collegarmi a un operatore vivente per favore.,General_Connect_to_Agent
Come posso saltare il menu registrato e andare dritto ad una persona viva?,General_Connect_to_Agent
Esiste un numero del servizio clienti della compagnia telefonica che posso usare per parlare direttamente con un operatore?,General_Connect_to_Agent
Fammi parlare con un essere umano per favore,General_Connect_to_Agent
"Ho bisogno di parlare con una persona reale piuttosto che comunicare con un sistema di risposta automatica, per favore.",General_Connect_to_Agent
"Ho provato a compilare il modulo online, ma ci vogliono giorni. Voglio parlare con qualcuno che può farlo adesso",General_Connect_to_Agent
Per favore aiutarmi a connettersi ad un agente,General_Connect_to_Agent
Per favore mi collega ad un agente umano che parla inglese bene.,General_Connect_to_Agent
Addio!,General_Ending
Pausa,General_Ending
Non vedo l'ora di parlarti la prossima volta.,General_Ending
Mi è piaciuto cooperare con te.,General_Ending
Me ne sto andando.,General_Ending
Grazie watson parliamo dopo per quanto riguarda il pagamento della fattura,General_Ending
"Grazie di tutto, è stato molto di aiuto",General_Ending
Grazie di avermi aiutato. Ciao,General_Ending
Ehi penso che hai risolto il mio problema grazie,General_Ending
ciao watson ti auguro una giornata bellissima,General_Ending
Buon pomeriggio.,General_Ending
Buona giornata.,General_Ending
"ok grazie mille, a presto",General_Ending
"ok grazie, arrivederci",General_Ending
"Va bene, grazie mille allora",General_Ending
Stammi bene.,General_Ending
Spero di risentirla presto,General_Ending
Sono curiso se ci sentiamo ancora.,General_Ending
sono contento che non devo parlare con gli umani ciao watson,General_Ending
smetti questa sessione adesso,General_Ending
Piacere di conoscerti.,General_Ending
"Bene, abbiamo fatto tutto ciò che mi serviva.",General_Ending
Buon pomeriggio bot!,General_Greetings
Buondì,General_Greetings
Salve Watson,General_Greetings
"Ti trovo bene, buona sera",General_Greetings
Sto parlando con un computer?,General_Greetings
Salve operatore virtuale,General_Greetings
"Salve, l' attivazione del pacchetto messaggi non e' ancora stato effettuato",General_Greetings
Saluti a lei,General_Greetings
Pronto per cominciare,General_Greetings
